Model,Location,Year,Km,FuelType,Transmission,Owner,Efficiency,Engine_cc,Power_bhp,Seats,Price_US_Dollars
Hyundai Elantra SX,Mumbai,2014,"55,619",Gasoline,Manual,First,16.30,1800,147.50,5,"$11,652 "
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,"55,662",Diesel,Automatic,First,12.07,3000,241.40,7,"$60,129 "
Hyundai Creta 1.4 CRDi S Plus,Coimbatore,2016,"55,687",Diesel,Manual,First,21.38,1400,88.70,5,"$17,057 "
Hyundai i20 Magna 1.4 CRDi,Jaipur,2015,"55,697",Diesel,Manual,First,22.54,1400,88.73,5,"$7,721 "
Honda City i DTEC SV,Kochi,2016,"55,700",Diesel,Manual,First,26.00,1400,98.60,5,"$10,557 "
Mahindra XUV500 W8 4WD,Mumbai,2015,"55,729",Diesel,Manual,First,15.10,2200,140.00,7,"$13,548 "
Audi A4 2.0 TDI,Kochi,2014,"55,730",Diesel,Automatic,First,16.55,2000,147.51,5,"$21,353 "
Maruti Swift ZDi,Hyderabad,2016,"55,746",Diesel,Manual,First,22.90,1200,74.00,5,"$9,757 "
Hyundai i20 1.2 Sportz Option,Kochi,2014,"55,804",Gasoline,Manual,First,17.00,1200,80.00,5,"$6,683 "
Honda City i-VTEC V,Delhi,2014,"55,818",Gasoline,Manual,Second,17.40,1400,117.30,5,"$8,002 "
Mahindra XUV500 W8 2WD,Kolkata,2013,"55,886",Diesel,Manual,First,16.00,2200,140.00,7,"$10,178 "
Volkswagen Vento Petrol Highline,Mumbai,2011,"55,893",Gasoline,Manual,First,15.04,1600,103.60,5,"$4,703 "
Chevrolet Aveo 1.4,Hyderabad,2008,"55,902",Gasoline,Manual,First,14.49,1400,92.70,5,"$2,527 "
Toyota Fortuner 3.0 Diesel,Pune,2014,"55,960",Diesel,Manual,First,11.50,3000,171.00,7,"$24,217 "
Audi A6 2011-2015 35 TDI Technology,Coimbatore,2017,"55,975",Diesel,Automatic,Second,17.68,2000,174.33,5,"$50,428 "
Hyundai i10 Magna,Mumbai,2010,"55,980",Gasoline,Manual,First,20.36,1200,78.90,5,"$3,159 "
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Kochi,2015,"55,980",Diesel,Automatic,First,19.27,2200,167.62,5,"$25,439 "
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,"55,985",Gasoline,Automatic,First,13.53,2000,177.01,5,"$32,992 "
Honda CR-V 2.0L 2WD AT,Kochi,2011,"55,987",Gasoline,Automatic,First,13.70,2000,153.86,5,"$11,540 "
Honda City ZX GXi,Mumbai,2005,"56,000",Gasoline,Manual,Second,17.70,1400,78.00,5,"$1,755 "
Maruti Alto LXi,Chennai,2006,"56,000",Gasoline,Manual,Second,19.70,800,46.30,5,"$1,965 "
Maruti Alto 800 2016-2019 LXI,Delhi,2013,"56,000",Gasoline,Manual,First,24.70,800,47.30,5,"$2,948 "
Chevrolet Optra Magnum 1.6 LT ABS BS3,Mumbai,2012,"56,000",Gasoline,Manual,First,12.90,1600,102.50,5,"$3,018 "
Chevrolet Beat LS,Delhi,2012,"56,000",Gasoline,Manual,First,18.60,1200,79.40,5,"$3,103 "
Hyundai Accent GLE,Delhi,2012,"56,000",Gasoline,Manual,First,13.20,1400,94.00,5,"$3,440 "
Maruti Celerio VXI,Jaipur,2014,"56,000",Gasoline,Manual,First,23.10,1000,67.04,5,"$3,917 "
Hyundai i10 Era 1.1,Bangalore,2010,"56,000",Gasoline,Manual,First,19.81,1000,68.05,5,"$4,001 "
Honda City ZX CVT,Hyderabad,2008,"56,000",Gasoline,Automatic,First,16.40,1400,78.00,5,"$4,198 "
Hyundai Santro Xing GL Plus LPG,Hyderabad,2014,"56,000",LPG,Manual,First,13.45,1000,62.10,5,"$4,492 "
Honda City V MT Exclusive,Mumbai,2011,"56,000",Gasoline,Manual,First,16.80,1400,116.30,5,"$4,843 "
Renault Fluence 1.5,Pune,2012,"56,000",Diesel,Manual,Second,20.40,1400,108.50,5,"$4,914 "
Maruti Swift VDI,Delhi,2014,"56,000",Diesel,Manual,First,22.90,1200,74.00,5,"$5,967 "
Honda City V MT,Mumbai,2014,"56,000",Gasoline,Manual,First,16.80,1400,116.30,5,"$8,072 "
Skoda Rapid 1.6 MPI Elegance,Hyderabad,2014,"56,000",Gasoline,Manual,First,15.00,1600,103.52,5,"$9,827 "
Maruti Ciaz ZDi SHVS,Ahmedabad,2016,"56,000",Diesel,Manual,First,28.09,1200,88.50,5,"$10,529 "
Toyota Corolla Altis G HV AT,Delhi,2013,"56,000",Gasoline,Automatic,First,14.53,1800,138.10,5,"$11,582 "
BMW 3 Series 320d Prestige,Mumbai,2015,"56,000",Diesel,Automatic,First,18.88,2000,184.00,5,"$31,939 "
Audi A6 35 TDI Matrix,Delhi,2014,"56,000",Diesel,Automatic,First,18.53,2000,187.74,5,"$33,694 "
Audi A6 2.0 TDI Design Edition,Delhi,2014,"56,000",Diesel,Automatic,Second,18.53,2000,187.74,5,"$41,415 "
Land Rover Range Rover 2.2L Dynamic,Hyderabad,2012,"56,000",Diesel,Automatic,First,12.70,2200,187.70,5,"$42,117 "
BMW 5 Series 525d Sedan,Hyderabad,2013,"56,000",Diesel,Automatic,First,16.73,3000,218.00,5,"$47,031 "
Land Rover Range Rover 2.2L Pure,Bangalore,2014,"56,000",Diesel,Automatic,First,12.70,2200,187.70,5,"$48,435 "
Audi Q5 2.0 TDI,Hyderabad,2015,"56,000",Diesel,Automatic,First,14.16,2000,174.30,5,"$49,137 "
Audi A8 L 3.0 TDI quattro,Delhi,2012,"56,000",Diesel,Automatic,First,11.80,3000,246.70,5,"$63,176 "
Honda City i DTEC V,Kolkata,2014,"56,002",Diesel,Manual,First,26.00,1400,98.60,5,"$8,564 "
Volkswagen Vento 1.6 Highline,Mumbai,2014,"56,058",Gasoline,Manual,First,15.04,1600,103.20,5,"$6,949 "
Nissan Terrano XV D Pre,Kochi,2015,"56,066",Diesel,Manual,First,19.64,1400,108.50,5,"$9,715 "
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2015,"56,073",Gasoline,Automatic,First,13.70,1800,157.75,5,"$18,602 "
Hyundai i10 Era,Kochi,2013,"56,075",Gasoline,Manual,First,19.81,1000,68.05,5,"$4,380 "
BMW 3 Series 320d Luxury Line,Mumbai,2015,"56,087",Diesel,Automatic,First,22.69,2000,190.00,5,"$29,131 "
Honda CR-V 2.0L 2WD MT,Mumbai,2014,"56,100",Gasoline,Manual,First,13.70,2000,153.86,5,"$13,688 "
Maruti Swift Dzire ZDI,Ahmedabad,2012,"56,121",Diesel,Manual,First,23.40,1200,74.00,5,"$5,967 "
Hyundai i20 1.2 Magna,Coimbatore,2013,"56,127",Gasoline,Manual,First,18.50,1200,80.00,5,"$7,230 "
Hyundai i20 2015-2017 Sportz AT 1.4,Pune,2012,"56,200",Gasoline,Automatic,First,15.00,1400,98.60,5,"$5,405 "
Maruti Swift Dzire VXi,Pune,2008,"56,230",Gasoline,Manual,Second,17.50,1200,85.80,5,"$3,369 "
Audi Q7 4.2 TDI Quattro Technology,Coimbatore,2015,"56,238",Diesel,Automatic,First,11.33,4000,335.20,7,"$72,568 "
Toyota Fortuner 2.8 2WD MT,Coimbatore,2019,"56,251",Diesel,Manual,First,14.24,2800,174.50,7,"$50,288 "
Maruti Swift VDI,Kochi,2013,"56,263",Diesel,Manual,First,22.90,1200,74.00,5,"$5,854 "
Toyota Etios G,Kochi,2013,"56,344",Gasoline,Manual,First,17.60,1400,88.73,5,"$6,416 "
Honda Civic 2006-2010 1.8 V AT,Kochi,2011,"56,361",Gasoline,Automatic,First,12.90,1800,130.00,5,"$6,149 "
Mahindra TUV 300 2015-2019 T8,Coimbatore,2017,"56,380",Diesel,Manual,First,18.49,1400,100.00,7,"$10,628 "
Skoda Superb Ambition 2.0 TDI CR AT,Delhi,2012,"56,400",Diesel,Automatic,First,17.20,2000,138.10,5,"$11,231 "
Ford Ecosport 1.5 DV5 MT Titanium Optional,Kochi,2015,"56,409",Diesel,Manual,First,22.70,1400,89.84,5,"$9,308 "
Mercedes-Benz S Class 2005 2013 S 350 CDI,Coimbatore,2017,"56,451",Diesel,Automatic,First,13.50,3000,282.00,5,"$88,179 "
Maruti Dzire ZDI,Ahmedabad,2013,"56,454",Diesel,Manual,First,28.40,1200,73.75,5,"$6,528 "
Ford Figo Diesel ZXI,Chennai,2011,"56,500",Diesel,Manual,First,20.00,1400,68.00,5,"$4,071 "
Maruti A-Star AT VXI,Hyderabad,2013,"56,500",Gasoline,Automatic,First,16.98,1000,66.10,5,"$4,843 "
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2013,"56,500",Diesel,Automatic,First,17.68,2000,174.33,5,"$27,797 "
Toyota Fortuner TRD Sportivo 2.8 2WD AT,Kochi,2014,"56,501",Diesel,Automatic,First,12.90,2800,174.50,7,"$24,863 "
Maruti Swift Dzire LXI,Delhi,2014,"56,510",Gasoline,Manual,First,19.10,1200,85.80,5,"$5,475 "
Volkswagen Polo Petrol Highline 1.6L,Coimbatore,2013,"56,526",Gasoline,Manual,First,15.26,1600,103.50,5,"$8,199 "
Mahindra XUV500 W10 2WD,Coimbatore,2016,"56,532",Diesel,Manual,First,16.00,2200,140.00,7,"$21,817 "
Ford Ecosport 1.5 DV5 MT Ambiente,Hyderabad,2014,"56,549",Diesel,Manual,First,22.70,1400,89.84,5,"$10,108 "
Fiat Linea 1.3 Emotion,Kochi,2016,"56,628",Diesel,Manual,First,20.40,1200,92.00,5,"$8,213 "
Mercedes-Benz E-Class Facelift,Coimbatore,2018,"56,652",Diesel,Automatic,First,13.00,3000,258.00,5,"$70,602 "
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,"56,658",Diesel,Manual,First,20.64,1400,108.50,5,"$7,567 "
Maruti Eeco 7 Seater Standard,Coimbatore,2012,"56,661",Gasoline,Manual,First,15.10,1200,73.00,7,"$5,068 "
Skoda Superb Elegance 1.8 TSI AT,Kochi,2016,"56,674",Gasoline,Automatic,First,13.70,1800,157.75,5,"$19,725 "
BMW X1 sDrive 20d Sportline,Kolkata,2013,"56,683",Diesel,Automatic,Second,17.05,2000,184.00,5,"$18,953 "
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,"56,739",Diesel,Manual,First,15.40,2000,120.00,7,"$14,474 "
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Kochi,2014,"56,778",Gasoline,Automatic,First,11.74,1800,186.00,5,"$21,704 "
Honda City 1.5 S AT,Kochi,2014,"56,838",Gasoline,Automatic,First,16.80,1400,118.00,5,"$7,230 "
Maruti Alto 800 LXI,Kolkata,2013,"56,840",Gasoline,Manual,First,22.74,800,47.30,5,"$2,176 "
Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,"56,847",Diesel,Manual,First,22.54,1400,88.73,5,"$10,108 "
Volkswagen Polo 1.5 TDI Trendline,Coimbatore,2015,"56,900",Diesel,Manual,First,20.14,1400,88.80,5,"$5,756 "
Hyundai Elite i20 Petrol Asta,Kochi,2016,"56,911",Gasoline,Manual,First,18.60,1200,81.86,5,"$9,182 "
Honda Civic 2006-2010 1.8 V MT,Coimbatore,2009,"56,927",Gasoline,Manual,First,13.50,1800,130.00,5,"$6,191 "
Tata Nano Cx,Jaipur,2010,"57,000",Gasoline,Manual,First,26.00,600,35.00,4,$702 
Chevrolet Aveo 1.4 LT,Mumbai,2011,"57,000",Gasoline,Manual,Second,14.49,1400,92.70,5,"$2,948 "
Hyundai i10 Era,Jaipur,2009,"57,000",Gasoline,Manual,First,19.81,1000,68.05,5,"$3,159 "
Hyundai i10 Sportz 1.2 AT,Mumbai,2010,"57,000",Gasoline,Automatic,Second,16.95,1200,78.90,5,"$3,510 "
Maruti Alto K10 VXI AGS,Chennai,2016,"57,000",Gasoline,Automatic,First,24.07,1000,67.10,5,"$4,773 "
Honda Amaze S i-Dtech,Kolkata,2013,"57,000",Diesel,Manual,First,25.80,1400,98.60,5,"$4,843 "
Volkswagen Polo Petrol Highline 1.2L,Pune,2013,"57,000",Gasoline,Manual,First,16.47,1200,73.90,5,"$5,265 "
Maruti Swift Dzire VDI,Kolkata,2014,"57,000",Diesel,Manual,First,26.59,1200,74.00,5,"$5,461 "
Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,"57,000",Gasoline,Manual,First,16.47,1200,74.00,5,"$5,545 "
Maruti Swift Dzire LDI,Pune,2017,"57,000",Diesel,Manual,First,26.59,1200,74.00,5,"$5,967 "
Honda City 1.5 V AT,Mumbai,2011,"57,000",Gasoline,Automatic,First,16.80,1400,118.00,5,"$6,177 "
Renault Fluence Diesel E4,Pune,2013,"57,000",Diesel,Manual,First,21.80,1400,78.00,5,"$6,472 "
Renault Duster 110PS Diesel RxZ,Kolkata,2013,"57,000",Diesel,Manual,First,19.01,1400,108.45,5,"$7,005 "
Honda City 1.5 S MT,Mumbai,2014,"57,000",Gasoline,Manual,First,17.00,1400,118.00,5,"$7,693 "
Ford Ecosport 1.5 DV5 MT Titanium,Kolkata,2014,"57,000",Diesel,Manual,First,22.70,1400,89.84,5,"$7,707 "
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,"57,000",Diesel,Manual,First,22.70,1400,89.84,5,"$7,721 "
Honda Mobilio V i DTEC,Mumbai,2014,"57,000",Diesel,Manual,First,24.20,1400,98.60,7,"$8,072 "
Hyundai i20 Asta 1.2,Ahmedabad,2016,"57,000",Gasoline,Manual,First,18.60,1200,81.83,5,"$8,423 "
Hyundai i20 1.4 Asta,Mumbai,2015,"57,000",Diesel,Manual,First,22.54,1400,88.73,5,"$8,915 "
Ford EcoSport 1.5 TDCi Trend,Delhi,2015,"57,000",Diesel,Manual,First,22.77,1400,98.59,5,"$8,915 "
Hyundai Verna 1.6 CRDi S,Delhi,2015,"57,000",Diesel,Manual,First,23.90,1600,126.20,5,"$9,266 "
Maruti Ertiga ZDI,Jaipur,2014,"57,000",Diesel,Manual,First,20.77,1200,88.80,7,"$9,827 "
Skoda Superb Elegance 1.8 TSI AT,Hyderabad,2010,"57,000",Gasoline,Automatic,First,13.70,1800,157.75,5,"$10,178 "
Audi A4 2.0 TDI Celebration Edition,Delhi,2011,"57,000",Diesel,Automatic,Second,16.55,2000,147.51,5,"$13,688 "
Mahindra Ssangyong Rexton RX5,Pune,2013,"57,000",Diesel,Manual,First,12.83,2800,162.00,7,"$17,479 "
Mercedes-Benz New C-Class C 250 CDI Elegance,Hyderabad,2011,"57,000",Diesel,Automatic,Second,14.94,2200,204.00,5,"$24,217 "
Mercedes-Benz New C-Class C 220 CDI CLASSIC,Bangalore,2014,"57,000",Diesel,Manual,Second,15.80,2200,170.00,5,"$25,270 "
Honda City i VTEC SV,Mumbai,2014,"57,004",Gasoline,Manual,First,17.40,1400,117.30,5,"$7,511 "
Volkswagen Polo GT TSI,Mumbai,2015,"57,022",Gasoline,Automatic,First,17.21,1200,103.60,5,"$9,139 "
Volkswagen Vento Petrol Highline,Kochi,2015,"57,026",Gasoline,Manual,First,15.04,1600,103.60,5,"$7,778 "
Maruti Ritz VDi,Kochi,2015,"57,034",Diesel,Manual,First,23.20,1200,73.94,5,"$6,149 "
Maruti Vitara Brezza ZDi Plus,Kochi,2018,"57,078",Diesel,Manual,First,24.30,1200,88.50,5,"$14,306 "
BMW 3 Series 320d Sport Line,Hyderabad,2012,"57,156",Diesel,Automatic,Second,18.88,2000,184.00,5,"$25,270 "
Hyundai i10 Sportz,Kochi,2012,"57,184",Gasoline,Manual,First,20.36,1200,78.90,5,"$4,338 "
Volkswagen Vento Petrol Highline,Pune,2013,"57,197",Gasoline,Manual,First,15.04,1600,103.60,5,"$5,616 "
Mahindra TUV 300 2015-2019 T8,Kochi,2017,"57,259",Diesel,Manual,First,18.49,1400,100.00,7,"$12,453 "
Fiat Avventura MULTIJET Emotion,Hyderabad,2015,"57,266",Diesel,Manual,First,20.50,1200,91.72,5,"$9,125 "
Volkswagen Polo GT TDI,Hyderabad,2011,"57,275",Diesel,Manual,First,19.70,1600,103.60,5,"$6,318 "
Maruti Swift VDI BSIV,Delhi,2014,"57,319",Diesel,Manual,First,25.20,1200,74.00,5,"$5,967 "
Volkswagen Vento Petrol Highline,Pune,2011,"57,328",Gasoline,Manual,First,15.04,1600,103.60,5,"$4,759 "
Chevrolet Cruze LTZ AT,Hyderabad,2013,"57,352",Diesel,Automatic,First,14.39,2000,163.70,5,"$9,125 "
Renault Duster 110PS Diesel RxZ,Kochi,2016,"57,390",Diesel,Manual,First,19.01,1400,108.45,5,"$9,448 "
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,"57,456",Diesel,Automatic,First,17.68,2000,174.33,5,"$30,268 "
Toyota Etios Cross 1.4L VD,Bangalore,2014,"57,464",Diesel,Manual,First,23.59,1400,67.06,5,"$8,072 "
Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,"57,478",Gasoline,Manual,Second,17.00,1600,121.30,5,"$7,370 "
Hyundai i20 1.2 Magna,Mumbai,2010,"57,500",Gasoline,Manual,First,18.50,1200,80.00,5,"$3,861 "
Hyundai Verna 1.6 SX CRDI (O) AT,Pune,2014,"57,539",Diesel,Automatic,First,22.32,1600,126.32,5,"$10,880 "
Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,Kochi,2017,"57,539",Diesel,Manual,First,12.80,2400,102.00,7,"$18,012 "
Maruti Swift Dzire VXI,Coimbatore,2014,"57,676",Gasoline,Manual,First,19.10,1200,85.80,5,"$9,392 "
Maruti Ritz LXi,Coimbatore,2013,"57,717",Gasoline,Manual,First,18.50,1200,85.80,5,"$6,051 "
Hyundai Grand i10 CRDi Magna,Kochi,2016,"57,738",Diesel,Manual,First,24.00,1200,70.00,5,"$7,076 "
Hyundai EON Era Plus,Kochi,2013,"57,759",Gasoline,Manual,First,21.10,800,55.20,5,"$5,391 "
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2014,"57,773",Diesel,Automatic,Second,17.11,2000,174.33,5,"$28,134 "
Maruti Ritz AT,Hyderabad,2012,"57,788",Gasoline,Automatic,First,17.16,1200,85.80,5,"$5,054 "
Maruti Celerio ZXI,Chennai,2015,"57,818",Gasoline,Manual,First,23.10,1000,67.04,5,"$6,037 "
Hyundai Grand i10 CRDi Sportz,Jaipur,2016,"57,824",Diesel,Manual,First,24.00,1200,70.00,5,"$7,721 "
BMW 5 Series 2003-2012 GT 530d LE,Coimbatore,2011,"57,832",Diesel,Automatic,First,16.20,3000,258.00,5,"$36,249 "
Mahindra XUV500 W10 2WD,Coimbatore,2017,"57,847",Diesel,Manual,First,16.00,2200,140.00,7,"$22,575 "
Toyota Innova 2.5 ZX Diesel 7 Seater,Delhi,2015,"57,854",Diesel,Manual,First,12.99,2400,100.60,7,"$17,549 "
Maruti Swift VXI BSIV,Coimbatore,2016,"57,932",Gasoline,Manual,First,20.40,1200,81.80,5,"$8,971 "
Chevrolet Enjoy 1.3 TCDi LTZ 8,Coimbatore,2015,"57,934",Diesel,Manual,First,18.20,1200,73.74,8,"$7,721 "
Honda Amaze VX AT i-Vtech,Hyderabad,2014,"57,937",Gasoline,Automatic,First,15.50,1200,86.70,5,"$7,581 "
Chevrolet Beat Diesel LS,Chennai,2012,"58,000",Diesel,Manual,First,25.44,1000,57.60,5,"$2,948 "
Hyundai i20 Magna,Mumbai,2010,"58,000",Gasoline,Manual,Second,18.50,1200,80.00,5,"$3,510 "
Hyundai Accent GLE,Ahmedabad,2010,"58,000",Gasoline,Manual,Second,13.20,1400,94.00,5,"$3,510 "
Maruti Wagon R LXI CNG,Pune,2014,"58,000",CNG,Manual,First,26.60,1000,58.16,5,"$4,212 "
Volkswagen Vento Petrol Trendline,Mumbai,2011,"58,000",Gasoline,Manual,First,15.04,1600,103.60,5,"$4,212 "
Hyundai Grand i10 CRDi SportZ Edition,Delhi,2014,"58,000",Diesel,Manual,First,24.00,1200,70.00,5,"$4,563 "
Hyundai i10 Sportz AT,Ahmedabad,2012,"58,000",Gasoline,Automatic,First,16.95,1200,78.90,5,"$4,914 "
Volkswagen Polo Petrol Trendline 1.2L,Delhi,2015,"58,000",Gasoline,Manual,First,16.47,1200,73.90,5,"$5,545 "
Hyundai Xcent 1.1 CRDi SX,Mumbai,2014,"58,000",Diesel,Manual,Second,24.40,1200,71.00,5,"$5,602 "
Hyundai i20 1.2 Sportz,Hyderabad,2012,"58,000",Gasoline,Manual,First,17.00,1200,80.00,5,"$5,616 "
Hyundai Verna 1.6 SX VTVT,Mumbai,2011,"58,000",Gasoline,Manual,Second,17.01,1600,121.30,5,"$5,616 "
Hyundai i20 Sportz AT 1.4,Bangalore,2012,"58,000",Gasoline,Automatic,Second,15.00,1400,98.60,5,"$6,177 "
Honda Amaze S i-Dtech,Delhi,2015,"58,000",Diesel,Manual,First,25.80,1400,98.60,5,"$6,247 "
Maruti SX4 ZDI,Ahmedabad,2014,"58,000",Diesel,Manual,First,21.79,1200,88.73,5,"$6,318 "
Hyundai Verna 1.6 EX VTVT,Kolkata,2014,"58,000",Gasoline,Manual,First,17.01,1600,121.30,5,"$6,444 "
Hyundai Xcent 1.1 CRDi S Option,Delhi,2015,"58,000",Diesel,Manual,First,24.40,1200,71.01,5,"$6,949 "
Renault Duster 110PS Diesel RxZ,Kolkata,2013,"58,000",Diesel,Manual,First,19.01,1400,108.45,5,"$7,005 "
Renault Duster 110PS Diesel RxZ,Ahmedabad,2013,"58,000",Diesel,Manual,Second,19.01,1400,108.45,5,"$7,300 "
Maruti Swift Dzire VDI,Jaipur,2015,"58,000",Diesel,Manual,First,23.40,1200,74.00,5,"$7,370 "
Honda City 1.5 S MT,Mumbai,2014,"58,000",Gasoline,Manual,First,17.00,1400,118.00,5,"$7,679 "
Hyundai Xcent 1.1 CRDi S,Pune,2015,"58,000",Diesel,Manual,First,24.40,1200,71.00,5,"$7,721 "
Hyundai Verna 1.6 SX CRDi (O),Kolkata,2014,"58,000",Diesel,Manual,First,22.32,1600,126.32,5,"$8,072 "
Volkswagen Vento 1.5 TDI Highline,Jaipur,2015,"58,000",Diesel,Manual,First,20.34,1400,103.20,5,"$8,213 "
Volkswagen Jetta 2013-2015 2.0L TDI Highline,Kolkata,2013,"58,000",Diesel,Manual,First,19.33,2000,138.03,5,"$8,283 "
Maruti Swift ZDi,Hyderabad,2015,"58,000",Diesel,Manual,First,25.20,1200,74.00,5,"$8,353 "
Volkswagen Vento 1.5 TDI Highline,Bangalore,2014,"58,000",Diesel,Manual,First,20.34,1400,103.20,5,"$9,125 "
Ford Ecosport 1.5 Ti VCT MT Titanium,Bangalore,2013,"58,000",Gasoline,Manual,First,15.80,1400,110.00,5,"$10,529 "
Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Pune,2013,"58,000",Diesel,Automatic,Second,16.96,2000,138.03,5,"$10,529 "
Mahindra XUV500 W8 2WD,Ahmedabad,2014,"58,000",Diesel,Manual,First,15.10,2200,140.00,7,"$10,529 "
Maruti Swift ZDi,Pune,2016,"58,000",Diesel,Manual,First,22.90,1200,74.00,5,"$10,599 "
Maruti S Cross DDiS 200 Alpha,Ahmedabad,2016,"58,000",Diesel,Manual,First,23.65,1200,88.50,5,"$11,091 "
Mahindra XUV500 W8 2WD,Delhi,2014,"58,000",Diesel,Manual,First,15.10,2200,140.00,7,"$11,372 "
Audi A4 2.0 TDI Multitronic,Delhi,2011,"58,000",Diesel,Automatic,First,16.55,2000,140.00,5,"$15,443 "
BMW 3 Series 320d,Bangalore,2010,"58,000",Diesel,Automatic,First,22.69,2000,190.00,5,"$16,145 "
BMW 5 Series 530d M Sport,Chennai,2010,"58,000",Diesel,Automatic,First,18.59,3000,265.00,5,"$16,496 "
BMW 3 Series 320d Highline,Hyderabad,2009,"58,000",Diesel,Automatic,First,16.07,2000,181.00,5,"$18,953 "
BMW 3 Series 320d Sport,Chennai,2012,"58,000",Diesel,Automatic,Second,22.69,2000,190.00,5,"$21,480 "
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,2013,"58,000",Diesel,Automatic,First,10.00,2200,170.00,5,"$22,111 "
Hyundai Santa Fe 4x4 AT,Bangalore,2014,"58,000",Diesel,Automatic,First,11.72,2200,194.30,7,"$23,866 "
BMW X3 xDrive 20d Luxury Line,Hyderabad,2009,"58,000",Diesel,Automatic,First,18.56,2000,190.00,5,"$25,242 "
Audi A6 2011-2015 2.0 TDI Premium Plus,Delhi,2014,"58,000",Diesel,Automatic,First,17.68,2000,174.33,5,"$25,972 "
BMW 3 Series 320d,Hyderabad,2013,"58,000",Diesel,Automatic,First,13.20,2000,170.00,5,"$27,376 "
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,"58,000",Gasoline,Automatic,First,11.74,1800,186.00,5,"$37,484 "
BMW X5 xDrive 30d,Chennai,2011,"58,000",Diesel,Automatic,Second,11.70,3000,245.00,5,"$37,905 "
BMW 7 Series 730Ld Sedan,Chennai,2010,"58,000",Diesel,Automatic,First,16.46,3000,258.00,5,"$43,521 "
Audi Q7 3.0 TDI Quattro Premium Plus,Delhi,2014,"58,000",Diesel,Automatic,First,12.07,3000,241.40,7,"$44,925 "
BMW X6 xDrive 40d,Hyderabad,2013,"58,000",Diesel,Automatic,First,11.20,3000,306.00,4,"$67,387 "
Renault Duster 110PS Diesel RxL,Mumbai,2014,"58,002",Diesel,Manual,First,19.64,1400,108.45,5,"$8,072 "
Renault Duster 110PS Diesel RxL,Mumbai,2014,"58,003",Diesel,Manual,First,19.01,1400,108.45,5,"$8,072 "
Hyundai Elantra CRDi,Ahmedabad,2008,"58,005",Diesel,Manual,Second,14.90,2000,112.20,5,"$5,967 "
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Coimbatore,2012,"58,006",Diesel,Manual,First,15.00,1800,105.00,5,"$9,406 "
Maruti Swift Dzire VXi,Mumbai,2011,"58,075",Gasoline,Manual,First,17.50,1200,85.80,5,"$4,142 "
Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,"58,095",Diesel,Manual,First,21.66,1400,108.62,5,"$8,143 "
Maruti Swift ZDi,Chennai,2012,"58,133",Diesel,Manual,First,22.90,1200,74.00,5,"$6,739 "
Volkswagen Polo 1.2 MPI Highline,Kochi,2015,"58,134",Gasoline,Manual,First,16.47,1200,74.00,5,"$6,514 "
Renault Duster 110PS Diesel RxL AMT,Kochi,2017,"58,151",Diesel,Automatic,First,19.60,1400,108.45,5,"$13,477 "
Honda City i VTEC CVT VX,Kochi,2016,"58,197",Gasoline,Automatic,First,18.00,1400,117.30,5,"$12,902 "
Hyundai Santa Fe 4X4,Ahmedabad,2012,"58,200",Diesel,Manual,First,14.66,2200,194.30,7,"$10,529 "
Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2016,"58,205",Diesel,Automatic,First,19.27,2200,167.62,5,"$37,905 "
Hyundai i10 Magna,Kolkata,2012,"58,235",Gasoline,Manual,First,20.36,1200,78.90,5,"$3,440 "
Hyundai Elantra 2.0 SX Option AT,Coimbatore,2015,"58,239",Gasoline,Automatic,First,14.62,2000,149.92,5,"$13,604 "
Hyundai Getz GLE,Hyderabad,2007,"58,307",Gasoline,Manual,First,15.30,1400,83.00,5,"$2,738 "
Maruti Swift Dzire VXI,Coimbatore,2014,"58,310",Gasoline,Manual,Second,19.10,1200,85.80,5,"$7,567 "
BMW 3 Series 320d Luxury Line,Kochi,2015,"58,390",Diesel,Automatic,First,18.88,2000,184.00,5,"$27,882 "
Hyundai Grand i10 CRDi Sportz,Kochi,2015,"58,397",Diesel,Manual,First,24.00,1200,70.00,5,"$6,879 "
Maruti Swift Dzire ZXi,Delhi,2015,"58,400",Gasoline,Manual,First,17.50,1200,85.80,5,"$7,721 "
